dataset,auc
1,0.8039348710990502
2,0.7822843822843822
3,0.5142857142857143
4,1.0
5,0.9433333333333334
6,1.0
7,0.7775000000000001
8,0.9995215311004786
9,0.9333333333333333
10,1.0
11,0.9907407407407407
12,0.9995215311004786
13,0.9333333333333333
14,0.9755244755244755
15,0.8627450980392156
16,0.9379432624113476
17,0.594391244870041
18,0.9938271604938271
19,0.8442307692307692
20,1.0
21,0.8518817204301076
22,0.9508108108108108
23,0.875
24,0.8329375848032565
25,0.8181818181818181
26,0.6973875181422351
27,1.0
28,0.8757142857142857
29,0.8500000000000001
30,0.9725274725274725
31,0.8395061728395061
32,0.75
33,0.9953703703703705
34,0.6091836734693878
35,0.8500000000000001
36,0.994902687673772
37,1.0
38,0.6973875181422351
39,1.0
40,1.0
41,0.9619047619047619
42,0.5714285714285714
43,1.0
44,0.9858272907053395
45,0.725
46,0.9673469387755103
47,0.9680170575692963
48,0.9454545454545454
49,0.8870192307692308
